date,equity
2025-11-03,1150000.0
2025-11-04,1182947.35
2025-11-05,1162835.1949999998
2025-11-06,1185309.36375
2025-11-07,1190375.31825
2025-11-10,1199209.49575
2025-11-11,1193766.85575
2025-11-12,1194098.5266910715
2025-11-13,1197093.8566910713
2025-11-14,1193759.1956196427
2025-11-17,1193759.1956196427
2025-11-18,1193759.1956196427
2025-11-19,1193759.1956196427
2025-11-20,1231959.8406196428
2025-11-21,1222597.1396196426
2025-11-24,1233817.1396196426
2025-11-25,1216532.7739053569
2025-11-26,1223838.9939053569
2025-11-27,1233195.8721053568
2025-11-28,1191772.2421053569
2025-12-01,1206919.3674624995
2025-12-02,1226044.8374624995
2025-12-03,1224009.5577124995
2025-12-04,1219704.7646624995
2025-12-05,1224173.1216624996
2025-12-08,1204903.2441624997
2025-12-09,1194964.3673767853
2025-12-10,1189378.7173767854
2025-12-11,1178867.885233928
2025-12-12,1165171.8552339282
2025-12-15,1160774.558983928
2025-12-16,1149502.0039839281
2025-12-17,1147361.0796982138
2025-12-18,1124145.027698214
2025-12-19,1134820.371448214
2025-12-22,1137305.1564482138
2025-12-23,1131205.1564482138
2025-12-24,1144805.1564482138
2025-12-26,1123913.052341071
2025-12-29,1108506.958341071
2025-12-30,1104285.0921446423
2026-01-02,1130290.1121446423
2026-01-05,1136749.281858928
2026-01-06,1120353.0098589282
2026-01-07,1115218.9607160708
2026-01-08,1134242.4607160708
2026-01-09,1147823.5181232137
2026-01-12,1167708.4381232136
2026-01-13,1145930.8332374992
2026-01-14,1143420.7332374994
2026-01-15,1154820.7332374994
2026-01-16,1157015.2932874993
2026-01-19,1165063.6587160705
2026-01-20,1178027.0987160706
2026-01-21,1180762.3597160706
2026-01-22,1223970.9802303563
2026-01-23,1218635.3907303563
2026-01-26,1271779.9181589277
2026-01-27,1273608.8931589276
2026-01-28,1332225.0979017848
2026-01-29,1321604.2729017849
2026-01-30,1299648.520044642
2026-02-02,1299648.520044642
2026-02-03,1299648.520044642
2026-02-04,1347284.5575446421
2026-02-05,1338483.6530803563
2026-02-06,1338483.6530803563
2026-02-09,1339350.0930803563
2026-02-10,1358483.8065803563
2026-02-11,1336697.6365803564
2026-02-12,1356069.4451196422
2026-02-13,1361088.6701196423
