date,equity
2025-11-03,1150000.0
2025-11-04,1182947.35
2025-11-05,1154844.8195
2025-11-06,1172580.6257500001
2025-11-07,1177646.58025
2025-11-10,1185016.3385
2025-11-11,1179633.6985
2025-11-12,1177128.329875
2025-11-13,1180123.659875
2025-11-14,1179315.846375
2025-11-17,1180127.228625
2025-11-18,1180127.228625
2025-11-19,1180127.228625
2025-11-20,1218327.873625
2025-11-21,1228390.353625
2025-11-24,1247960.954825
2025-11-25,1226800.3948249999
2025-11-26,1234106.6148249998
2025-11-27,1243463.4930249997
2025-11-28,1200785.5280249997
2025-12-01,1205947.1262749997
2025-12-02,1225072.5962749997
2025-12-03,1223037.3165249997
2025-12-04,1218732.5234749997
2025-12-05,1223200.8804749998
2025-12-08,1199043.0079749997
2025-12-09,1181508.5004749997
2025-12-10,1175922.8504749998
2025-12-11,1160367.2654749998
2025-12-12,1146671.2354749995
2025-12-15,1138762.5632249997
2025-12-16,1132415.6282249996
2025-12-17,1125923.5579749995
2025-12-18,1111710.8399749994
2025-12-19,1116613.6413249995
2025-12-22,1117951.9163249996
2025-12-23,1114851.9163249996
2025-12-24,1121651.9163249996
2025-12-26,1110018.1343249995
2025-12-29,1099642.2840749994
2025-12-30,1091553.5565749994
2026-01-02,1107842.2653249996
2026-01-05,1129188.8878249996
2026-01-06,1115388.9591999995
2026-01-07,1114881.9191999994
2026-01-08,1115359.3229499995
2026-01-09,1134636.8618499995
2026-01-12,1191133.1261357137
2026-01-13,1176613.3006357136
2026-01-14,1183917.0006357136
2026-01-15,1193517.0006357136
2026-01-16,1220273.549207142
2026-01-19,1241485.9106214277
2026-01-20,1263302.4886214277
2026-01-21,1250158.4011214278
2026-01-22,1328912.675407142
2026-01-23,1318224.9271571417
2026-01-26,1318896.7971571416
2026-01-27,1320596.7971571416
2026-01-28,1343092.0254071418
2026-01-29,1334436.6759071418
2026-01-30,1273020.7051571417
2026-02-02,1273207.1296571419
2026-02-03,1273207.1296571419
2026-02-04,1318888.617157142
2026-02-05,1310602.3197821418
2026-02-06,1310602.3197821418
2026-02-09,1311468.7597821418
2026-02-10,1330602.4732821418
2026-02-11,1308816.303282142
2026-02-12,1324697.3993571417
2026-02-13,1329716.6243571416
