code,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,regime,hold_days
397030,에이프릴바이오,2025-11-04,2025-11-05,35100.0,38340.0,10,31408.0,8.95,TP_HIT,CAUTION,1
039200,오스코텍,2025-11-05,2025-11-06,48550.0,47362.0,10,-13108.0,-2.7,SL_HIT,CAUTION,1
140410,메지온,2025-11-06,2025-11-07,67000.0,70810.0,9,32638.0,5.41,TRAILING,NORMAL,1
033780,KT&G,2025-11-07,2025-11-10,139300.0,138125.0,3,-4603.0,-1.1,SL_HIT,NORMAL,1
001740,SK네트웍스,2025-11-10,2025-11-12,4725.0,4673.0,149,-9554.0,-1.36,SL_HIT,NORMAL,2
007390,네이처셀,2025-11-11,2025-11-12,26100.0,26626.0,16,7318.0,1.75,TRAILING,NORMAL,1
036460,한국가스공사,2025-11-13,2025-11-14,42850.0,42316.0,12,-7728.0,-1.5,SL_HIT,NORMAL,1
068270,셀트리온,2025-11-13,2025-11-14,183600.0,191486.0,1,7389.0,4.02,TP_HIT,NORMAL,1
058610,에스피지,2025-11-20,2025-11-21,37900.0,42140.0,7,28918.0,10.9,TP_HIT,NORMAL,1
032640,LG유플러스,2025-11-20,2025-11-25,15600.0,15314.0,34,-11070.0,-2.09,SL_HIT,NORMAL,3
278470,에이피알,2025-11-25,2025-11-27,248000.0,258020.0,2,18701.0,3.77,TRAILING,NORMAL,2
015760,한국전력,2025-11-26,2025-11-27,52100.0,52477.0,12,2887.0,0.46,TRAILING,NORMAL,1
082740,한화엔진,2025-11-28,2025-12-01,44600.0,43486.0,12,-14730.0,-2.75,SL_HIT,NORMAL,1
440110,파두,2025-11-28,2025-12-01,28900.0,27818.0,10,-11546.0,-3.99,SL_HIT,NORMAL,1
466100,클로봇,2025-12-02,2025-12-03,42100.0,43165.0,7,6671.0,2.26,TRAILING,NORMAL,1
138930,BNK금융지주,2025-12-02,2025-12-04,15300.0,15345.0,35,193.0,0.04,TRAILING,NORMAL,2
005930,삼성전자,2025-12-04,2025-12-05,103900.0,105148.0,5,4874.0,0.94,TRAILING,NORMAL,1
034020,두산에너빌리티,2025-12-05,2025-12-08,79600.0,77850.0,7,-13669.0,-2.45,SL_HIT,NORMAL,1
222800,심텍,2025-12-08,2025-12-09,56500.0,54596.0,10,-20458.0,-3.62,SL_HIT,NORMAL,1
329180,HD현대중공업,2025-12-10,2025-12-11,571000.0,558357.0,1,-14096.0,-2.47,SL_HIT,NORMAL,1
009540,HD한국조선해양,2025-12-09,2025-12-15,437000.0,438925.0,1,784.0,0.18,TRAILING,NORMAL,4
026960,동서,2025-12-12,2025-12-15,29100.0,28700.0,22,-10443.0,-1.63,SL_HIT,NORMAL,1
001440,대한전선,2025-12-16,2025-12-17,24400.0,23889.0,14,-8021.0,-2.35,SL_HIT,CAUTION,1
226950,올릭스,2025-12-16,2025-12-17,142100.0,137064.0,1,-5393.0,-3.79,SL_HIT,CAUTION,1
003690,코리안리,2025-12-18,2025-12-19,11720.0,11582.0,44,-7392.0,-1.43,SL_HIT,NORMAL,1
010950,S-Oil,2025-12-18,2025-12-19,86000.0,84504.0,3,-5149.0,-2.0,SL_HIT,NORMAL,1
001450,현대해상,2025-12-22,2025-12-26,30850.0,30454.0,16,-7611.0,-1.54,SL_HIT,NORMAL,4
192080,더블유게임즈,2025-12-22,2025-12-26,54900.0,54382.0,5,-3297.0,-1.2,SL_HIT,NORMAL,4
232140,와이씨,2025-12-29,2025-12-30,14920.0,14611.0,33,-11450.0,-2.33,SL_HIT,NORMAL,1
067310,하나마이크론,2025-12-29,2025-12-30,25600.0,24921.0,11,-8178.0,-2.9,SL_HIT,NORMAL,1
039030,이오테크닉스,2026-01-02,2026-01-05,272000.0,290114.0,1,17363.0,6.38,TP_HIT,NORMAL,1
028300,HLB,2026-01-02,2026-01-05,51600.0,53897.0,7,15101.0,4.18,TP_HIT,NORMAL,1
281740,레이크머티리얼즈,2026-01-06,2026-01-07,15890.0,15457.0,32,-15151.0,-2.98,SL_HIT,NORMAL,1
000720,현대건설,2026-01-07,2026-01-09,75600.0,75563.0,7,-1634.0,-0.31,TRAILING,NORMAL,2
010140,삼성중공업,2026-01-08,2026-01-09,25500.0,26963.0,20,27859.0,5.46,TP_HIT,NORMAL,1
214150,클래시스,2026-01-12,2026-01-13,58200.0,57064.0,8,-10274.0,-2.21,SL_HIT,NORMAL,1
017960,한국카본,2026-01-12,2026-01-13,37700.0,38848.0,8,8381.0,2.78,TRAILING,NORMAL,1
071320,지역난방공사,2026-01-14,2026-01-16,102000.0,102917.0,3,1949.0,0.64,TRAILING,NORMAL,2
271560,오리온,2026-01-14,2026-01-19,107000.0,110537.0,4,13001.0,3.04,TP_HIT,NORMAL,3
247540,에코프로비엠,2026-01-20,2026-01-21,155200.0,158110.0,2,4999.0,1.61,TRAILING,NORMAL,1
073240,금호타이어,2026-01-19,2026-01-22,6040.0,6385.0,107,35159.0,5.44,TP_HIT,NORMAL,3
032350,롯데관광개발,2026-01-22,2026-01-23,22600.0,23426.0,20,15294.0,3.38,TRAILING,NORMAL,1
131970,두산테스나,2026-01-23,2026-01-26,54300.0,58946.0,12,53918.0,8.27,TP_HIT,NORMAL,1
007660,이수페타시스,2026-01-26,2026-01-28,118400.0,124063.0,4,21365.0,4.51,TRAILING,NORMAL,2
128940,한미약품,2026-01-27,2026-01-28,473500.0,515443.0,1,40609.0,8.58,TP_HIT,NORMAL,1
347850,디앤디파마텍,2026-01-29,2026-01-30,100500.0,96725.0,5,-20135.0,-4.01,SL_HIT,NORMAL,1
226950,올릭스,2026-01-29,2026-01-30,151500.0,145659.0,2,-12441.0,-4.11,SL_HIT,NORMAL,1
001440,대한전선,2026-02-04,2026-02-05,30450.0,33621.0,15,46267.0,10.13,TP_HIT,RECOVERY_CONFIRMED,1
009150,삼성전기,2026-02-04,2026-02-05,303000.0,296339.0,1,-7432.0,-2.45,SL_HIT,RECOVERY_CONFIRMED,1
161390,한국타이어앤테크놀로지,2026-02-09,2026-02-10,69600.0,72265.0,8,19820.0,3.56,TRAILING,NORMAL,1
251270,넷마블,2026-02-09,2026-02-10,55600.0,55775.0,6,180.0,0.05,TRAILING,NORMAL,1
003490,대한항공,2026-02-11,2026-02-12,25500.0,25120.0,23,-10252.0,-1.75,SL_HIT,NORMAL,1
003160,디아이,2026-02-11,2026-02-12,35700.0,36666.0,9,7837.0,2.44,TRAILING,NORMAL,1
005930,삼성전자,2026-02-13,2026-02-13,179500.0,181200.0,3,3687.0,0.68,PERIOD_END,NORMAL,1
