code,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,regime,hold_days
397030,에이프릴바이오,2025-11-04,2025-11-05,35100.0,37539.0,10,23418.0,6.67,TRAILING,CAUTION,1
039200,오스코텍,2025-11-05,2025-11-06,48550.0,46888.0,10,-17847.0,-3.68,SL_HIT,CAUTION,1
140410,메지온,2025-11-06,2025-11-07,67000.0,70810.0,9,32638.0,5.41,TRAILING,NORMAL,1
033780,KT&G,2025-11-07,2025-11-10,139300.0,137655.0,3,-6009.0,-1.44,SL_HIT,NORMAL,1
001740,SK네트웍스,2025-11-10,2025-11-12,4725.0,4652.0,146,-12389.0,-1.8,SL_HIT,NORMAL,2
007390,네이처셀,2025-11-11,2025-11-12,26100.0,26626.0,16,7318.0,1.75,TRAILING,NORMAL,1
036460,한국가스공사,2025-11-13,2025-11-14,42850.0,42102.0,12,-10285.0,-2.0,SL_HIT,NORMAL,1
068270,셀트리온,2025-11-13,2025-11-17,183600.0,197395.0,1,13284.0,7.23,TRAILING,NORMAL,2
058610,에스피지,2025-11-20,2025-11-21,37900.0,43200.0,3,15565.0,13.69,TP_PARTIAL,NORMAL,1
058610,에스피지,2025-11-20,2025-11-24,37900.0,48306.0,4,41128.0,27.13,TRAILING,NORMAL,2
032640,LG유플러스,2025-11-20,2025-11-25,15600.0,15200.0,34,-14946.0,-2.82,SL_HIT,NORMAL,3
278470,에이피알,2025-11-25,2025-11-27,248000.0,258020.0,2,18701.0,3.77,TRAILING,NORMAL,2
015760,한국전력,2025-11-26,2025-11-27,52100.0,52477.0,12,2887.0,0.46,TRAILING,NORMAL,1
082740,한화엔진,2025-11-28,2025-12-01,44600.0,43040.0,12,-20066.0,-3.75,SL_HIT,NORMAL,1
440110,파두,2025-11-28,2025-12-01,28900.0,27385.0,11,-17451.0,-5.49,SL_HIT,NORMAL,1
466100,클로봇,2025-12-02,2025-12-03,42100.0,43165.0,7,6671.0,2.26,TRAILING,NORMAL,1
138930,BNK금융지주,2025-12-02,2025-12-04,15300.0,15345.0,35,193.0,0.04,TRAILING,NORMAL,2
005930,삼성전자,2025-12-04,2025-12-05,103900.0,105148.0,5,4874.0,0.94,TRAILING,NORMAL,1
